"codigo","data","motorPressaoSkidA","motorPressaoSkidB","motorTransferenciaSkidA","motorTransferenciaSkidB","motorVacuo","portaUsina","status","usinada"
89,"2016-05-11 17:46:24",1,0,0,0,0,1,"pressao",
90,"2016-05-11 17:46:34",1,0,0,0,0,0,"pressao",
91,"2016-05-11 17:47:14",1,0,0,0,0,1,"pressao",
92,"2016-05-11 17:47:24",1,0,0,0,0,0,"pressao",
93,"2016-05-11 17:49:54",1,0,0,0,0,1,"pressao",
94,"2016-05-11 17:50:04",1,0,0,0,0,0,"pressao",
95,"2016-05-11 17:52:34",1,0,0,0,0,1,"pressao",
96,"2016-05-11 17:52:44",1,0,0,0,0,0,"pressao",
97,"2016-05-11 17:53:24",1,0,0,0,0,1,"pressao",
98,"2016-05-11 17:53:34",1,0,0,0,0,0,"pressao",
99,"2016-05-11 17:57:44",1,0,0,0,0,1,"pressao",
100,"2016-05-11 17:57:54",1,0,0,0,0,0,"pressao",
101,"2016-05-11 17:58:34",1,0,0,0,0,1,"pressao",
102,"2016-05-11 17:58:44",1,0,0,0,0,0,"pressao",
103,"2016-05-11 17:59:24",1,0,0,0,0,1,"pressao",
104,"2016-05-11 17:59:34",1,0,0,0,0,0,"pressao",
105,"2016-05-11 18:03:04",1,0,0,0,0,1,"pressao",
106,"2016-05-11 18:03:14",1,0,0,0,0,0,"pressao",
107,"2016-05-11 18:04:14",1,0,0,0,0,1,"pressao",
108,"2016-05-11 18:04:24",1,0,0,0,0,0,"pressao",
109,"2016-05-11 18:04:54",1,0,0,0,0,1,"pressao",
110,"2016-05-11 18:05:04",1,0,0,0,0,0,"pressao",
111,"2016-05-11 18:06:34",1,0,0,0,0,1,"pressao",
112,"2016-05-11 18:06:44",1,0,0,0,0,0,"pressao",
113,"2016-05-11 18:07:24",1,0,0,0,0,1,"pressao",
114,"2016-05-11 18:07:34",1,0,0,0,0,0,"pressao",
115,"2016-05-11 18:11:04",1,0,0,0,0,1,"pressao",
116,"2016-05-11 18:11:14",1,0,0,0,0,0,"pressao",
